area,ticket_date,waste_type,net_weight_kg
Dehiwala MC,2012-01-01,Non Biodegradable,82270
Dehiwala MC,2012-01-02,Non Biodegradable,123010
Dehiwala MC,2012-01-03,Non Biodegradable,128330
Dehiwala MC,2012-01-04,Non Biodegradable,79430
Dehiwala MC,2012-01-05,Non Biodegradable,121320
Dehiwala MC,2012-01-06,Non Biodegradable,131980
Dehiwala MC,2012-01-07,Non Biodegradable,91180
Dehiwala MC,2012-01-08,Non Biodegradable,115640
Dehiwala MC,2012-01-09,Non Biodegradable,119230
Dehiwala MC,2012-01-10,Non Biodegradable,158320
Dehiwala MC,2012-01-11,Non Biodegradable,131390
Dehiwala MC,2012-01-12,Non Biodegradable,81870
Dehiwala MC,2012-01-13,Non Biodegradable,119000
Dehiwala MC,2012-01-14,Non Biodegradable,114380
Dehiwala MC,2012-01-15,Non Biodegradable,59930
Dehiwala MC,2012-01-16,Non Biodegradable,134540
Dehiwala MC,2012-01-17,Non Biodegradable,141930
Dehiwala MC,2012-01-18,Non Biodegradable,122180
Dehiwala MC,2012-01-19,Non Biodegradable,118560
Dehiwala MC,2012-01-20,Non Biodegradable,110970
Dehiwala MC,2012-01-21,Non Biodegradable,111160
Dehiwala MC,2012-01-22,Non Biodegradable,69770
Dehiwala MC,2012-01-23,Non Biodegradable,127800
Dehiwala MC,2012-01-24,Non Biodegradable,120790
Dehiwala MC,2012-01-25,Non Biodegradable,100740
Dehiwala MC,2012-01-26,Non Biodegradable,115120
Dehiwala MC,2012-01-27,Non Biodegradable,114470
Dehiwala MC,2012-01-28,Non Biodegradable,88450
Dehiwala MC,2012-01-29,Non Biodegradable,71250
Dehiwala MC,2012-01-30,Non Biodegradable,138160
Dehiwala MC,2012-01-31,Non Biodegradable,135180
Dehiwala MC,2012-02-01,Non Biodegradable,117880
Dehiwala MC,2012-02-02,Non Biodegradable,119290
Dehiwala MC,2012-02-03,Non Biodegradable,120480
Dehiwala MC,2012-02-04,Non Biodegradable,156900
Dehiwala MC,2012-02-05,Non Biodegradable,151400
Dehiwala MC,2012-02-06,Non Biodegradable,118860
Dehiwala MC,2012-02-07,Non Biodegradable,134820
Dehiwala MC,2012-02-08,Non Biodegradable,135590
Dehiwala MC,2012-02-09,Non Biodegradable,57970
Dehiwala MC,2012-02-10,Non Biodegradable,147900
Dehiwala MC,2012-02-11,Non Biodegradable,192000
Dehiwala MC,2012-02-12,Non Biodegradable,98370
Dehiwala MC,2012-02-13,Non Biodegradable,125300
Dehiwala MC,2012-02-14,Non Biodegradable,117640
Dehiwala MC,2012-02-15,Non Biodegradable,143620
Dehiwala MC,2012-02-16,Non Biodegradable,160250
Dehiwala MC,2012-02-17,Non Biodegradable,129790
Dehiwala MC,2012-02-18,Non Biodegradable,128490
Dehiwala MC,2012-02-19,Non Biodegradable,75120
Dehiwala MC,2012-02-20,Non Biodegradable,119690
Dehiwala MC,2012-02-21,Non Biodegradable,125030
Dehiwala MC,2012-02-22,Non Biodegradable,142350
Dehiwala MC,2012-02-23,Non Biodegradable,120500
Dehiwala MC,2012-02-24,Non Biodegradable,100290
Dehiwala MC,2012-02-25,Non Biodegradable,117930
Dehiwala MC,2012-02-26,Non Biodegradable,67940
Dehiwala MC,2012-02-27,Non Biodegradable,127240
Dehiwala MC,2012-02-28,Non Biodegradable,134770
Dehiwala MC,2012-02-29,Non Biodegradable,126670
Dehiwala MC,2012-03-01,Non Biodegradable,131650
Dehiwala MC,2012-03-02,Non Biodegradable,109100
Dehiwala MC,2012-03-03,Non Biodegradable,81640
Dehiwala MC,2012-03-04,Non Biodegradable,159880
Dehiwala MC,2012-03-05,Non Biodegradable,139150
Dehiwala MC,2012-03-06,Non Biodegradable,78220
Dehiwala MC,2012-03-07,Non Biodegradable,115350
Dehiwala MC,2012-03-08,Non Biodegradable,115320
Dehiwala MC,2012-03-09,Non Biodegradable,77330
Dehiwala MC,2012-03-10,Non Biodegradable,145270
Dehiwala MC,2012-03-11,Non Biodegradable,173880
Dehiwala MC,2012-03-12,Non Biodegradable,169830
Dehiwala MC,2012-03-13,Non Biodegradable,129610
Dehiwala MC,2012-03-14,Non Biodegradable,113320
Dehiwala MC,2012-03-15,Non Biodegradable,140450
Dehiwala MC,2012-03-16,Non Biodegradable,132440
Dehiwala MC,2012-03-17,Non Biodegradable,120750
Dehiwala MC,2012-03-18,Non Biodegradable,74930
Dehiwala MC,2012-03-19,Non Biodegradable,124140
Dehiwala MC,2012-03-20,Non Biodegradable,131950
Dehiwala MC,2012-03-21,Non Biodegradable,141250
Dehiwala MC,2012-03-22,Non Biodegradable,118300
Dehiwala MC,2012-03-23,Non Biodegradable,115250
Dehiwala MC,2012-03-24,Non Biodegradable,113010
Dehiwala MC,2012-03-25,Non Biodegradable,79350
Dehiwala MC,2012-03-26,Non Biodegradable,135860
Dehiwala MC,2012-03-27,Non Biodegradable,142450
Dehiwala MC,2012-03-28,Non Biodegradable,137820
Dehiwala MC,2012-03-29,Non Biodegradable,129800
Dehiwala MC,2012-03-30,Non Biodegradable,130080
Dehiwala MC,2012-03-31,Non Biodegradable,122570
Dehiwala MC,2012-04-01,Non Biodegradable,119360
Dehiwala MC,2012-04-02,Non Biodegradable,4440
Dehiwala MC,2012-04-03,Non Biodegradable,71920
Dehiwala MC,2012-04-04,Non Biodegradable,131110
Dehiwala MC,2012-04-05,Non Biodegradable,137260
Dehiwala MC,2012-04-06,Non Biodegradable,68030
Dehiwala MC,2012-04-07,Non Biodegradable,137830
Dehiwala MC,2012-04-08,Non Biodegradable,79940
Dehiwala MC,2012-04-09,Non Biodegradable,159890
Dehiwala MC,2012-04-10,Non Biodegradable,149370
Dehiwala MC,2012-04-11,Non Biodegradable,106600
Dehiwala MC,2012-04-12,Non Biodegradable,170260
Dehiwala MC,2012-04-13,Non Biodegradable,81620
Dehiwala MC,2012-04-14,Non Biodegradable,83430
Dehiwala MC,2012-04-15,Non Biodegradable,70040
Dehiwala MC,2012-04-16,Non Biodegradable,92590
Dehiwala MC,2012-04-17,Non Biodegradable,113760
Dehiwala MC,2012-04-18,Non Biodegradable,127610
Dehiwala MC,2012-04-19,Non Biodegradable,122660
Dehiwala MC,2012-04-20,Non Biodegradable,128180
Dehiwala MC,2012-04-21,Non Biodegradable,124960
Dehiwala MC,2012-04-22,Non Biodegradable,66770
Dehiwala MC,2012-04-23,Non Biodegradable,106920
Dehiwala MC,2012-04-24,Non Biodegradable,145370
Dehiwala MC,2012-04-25,Non Biodegradable,149100
Dehiwala MC,2012-04-26,Non Biodegradable,133670
Dehiwala MC,2012-04-27,Non Biodegradable,168120
Dehiwala MC,2012-04-28,Non Biodegradable,125750
Dehiwala MC,2012-04-29,Non Biodegradable,81900
Dehiwala MC,2012-04-30,Non Biodegradable,129540
Dehiwala MC,2012-05-01,Non Biodegradable,135600
Dehiwala MC,2012-05-02,Non Biodegradable,101740
Dehiwala MC,2012-05-03,Non Biodegradable,130470
Dehiwala MC,2012-05-04,Non Biodegradable,127890
Dehiwala MC,2012-05-05,Non Biodegradable,94030
Dehiwala MC,2012-05-06,Non Biodegradable,126280
