area,ticket_date,waste_type,net_weight_kg
Homagama PS,2012-01-02,MSW,12940
Homagama PS,2012-01-03,MSW,21720
Homagama PS,2012-01-05,MSW,32960
Homagama PS,2012-01-06,MSW,41460
Homagama PS,2012-01-10,MSW,34190
Homagama PS,2012-01-11,MSW,31060
Homagama PS,2012-01-12,MSW,14680
Homagama PS,2012-01-23,MSW,10580
Homagama PS,2012-01-24,MSW,57610
Homagama PS,2012-01-25,MSW,40740
Homagama PS,2012-01-26,MSW,103940
Homagama PS,2012-01-27,MSW,88620
Homagama PS,2012-01-28,MSW,91430
Homagama PS,2012-01-29,MSW,91620
Homagama PS,2012-01-30,MSW,120900
Homagama PS,2012-01-31,MSW,56270
Homagama PS,2012-02-02,MSW,24510
Homagama PS,2012-02-03,MSW,23050
Homagama PS,2012-02-04,MSW,28450
Homagama PS,2012-02-05,MSW,46680
Homagama PS,2012-02-08,MSW,31580
Homagama PS,2012-02-10,MSW,52230
Homagama PS,2012-02-11,MSW,45650
Homagama PS,2012-02-12,MSW,20910
Homagama PS,2012-02-13,MSW,14110
Homagama PS,2012-02-14,MSW,32390
Homagama PS,2012-02-15,MSW,24700
Homagama PS,2012-02-16,MSW,23230
Homagama PS,2012-02-17,MSW,23430
Homagama PS,2012-02-18,MSW,15480
Homagama PS,2012-02-19,MSW,57110
Homagama PS,2012-02-20,MSW,23160
Homagama PS,2012-02-21,MSW,22200
Homagama PS,2012-02-22,MSW,22110
Homagama PS,2012-02-23,MSW,13550
Homagama PS,2012-02-25,MSW,20680
Homagama PS,2012-02-26,MSW,26830
Homagama PS,2012-02-27,MSW,37250
Homagama PS,2012-02-28,MSW,45720
Homagama PS,2012-02-29,MSW,21600
Homagama PS,2012-03-02,MSW,20290
Homagama PS,2012-03-03,MSW,22440
Homagama PS,2012-03-04,MSW,21160
Homagama PS,2012-03-05,MSW,39020
Homagama PS,2012-03-06,MSW,33490
Homagama PS,2012-03-08,MSW,23670
Homagama PS,2012-03-10,MSW,57640
Homagama PS,2012-03-11,MSW,40260
Homagama PS,2012-03-13,MSW,31280
Homagama PS,2012-03-14,MSW,21110
Homagama PS,2012-03-15,MSW,12320
Homagama PS,2012-03-16,MSW,39490
Homagama PS,2012-03-17,MSW,42860
Homagama PS,2012-03-18,MSW,15270
Homagama PS,2012-03-19,MSW,34280
Homagama PS,2012-03-20,MSW,22790
Homagama PS,2012-03-21,MSW,27990
Homagama PS,2012-03-22,MSW,25450
Homagama PS,2012-03-23,MSW,17890
Homagama PS,2012-03-24,MSW,26940
Homagama PS,2012-03-25,MSW,14200
Homagama PS,2012-03-26,MSW,20120
Homagama PS,2012-03-27,MSW,32450
Homagama PS,2012-03-28,MSW,27270
Homagama PS,2012-03-29,MSW,33300
Homagama PS,2012-03-30,MSW,28080
Homagama PS,2012-03-31,MSW,14490
Homagama PS,2012-04-03,MSW,14410
Homagama PS,2012-04-05,MSW,14080
Homagama PS,2012-04-08,MSW,44990
Homagama PS,2012-04-09,MSW,47130
Homagama PS,2012-04-10,MSW,44310
Homagama PS,2012-04-15,MSW,16640
Homagama PS,2012-04-16,MSW,15910
