area,ticket_date,waste_type,net_weight_kg
Moratuwa MC,2014-01-12,Sorted Organic Waste,47230
Moratuwa MC,2014-02-12,Sorted Organic Waste,54670
Moratuwa MC,2014-03-12,Sorted Organic Waste,43670
Moratuwa MC,2014-04-12,Sorted Organic Waste,40410
Moratuwa MC,2014-05-12,Sorted Organic Waste,34590
Moratuwa MC,2014-06-12,Sorted Organic Waste,36580
Moratuwa MC,2014-08-12,Sorted Organic Waste,47700
Moratuwa MC,2014-09-12,Sorted Organic Waste,50190
Moratuwa MC,2014-09-16,Sorted Organic Waste,2060
Moratuwa MC,2014-09-18,Sorted Organic Waste,1810
Moratuwa MC,2014-10-01,Sorted Organic Waste,4160
Moratuwa MC,2014-10-02,Sorted Organic Waste,9860
Moratuwa MC,2014-10-03,Sorted Organic Waste,1500
Moratuwa MC,2014-10-04,Sorted Organic Waste,5650
Moratuwa MC,2014-10-05,Sorted Organic Waste,4900
Moratuwa MC,2014-10-06,Sorted Organic Waste,10080
Moratuwa MC,2014-10-07,Sorted Organic Waste,14690
Moratuwa MC,2014-10-08,Sorted Organic Waste,17220
Moratuwa MC,2014-10-09,Sorted Organic Waste,19240
Moratuwa MC,2014-10-10,Sorted Organic Waste,23200
Moratuwa MC,2014-10-11,Sorted Organic Waste,18240
Moratuwa MC,2014-10-12,Sorted Organic Waste,65970
Moratuwa MC,2014-10-13,Sorted Organic Waste,26130
Moratuwa MC,2014-10-14,Sorted Organic Waste,33510
Moratuwa MC,2014-10-15,Sorted Organic Waste,21160
Moratuwa MC,2014-11-01,Sorted Organic Waste,37950
Moratuwa MC,2014-11-03,Sorted Organic Waste,30760
Moratuwa MC,2014-11-04,Sorted Organic Waste,35480
Moratuwa MC,2014-11-05,Sorted Organic Waste,50540
Moratuwa MC,2014-11-06,Sorted Organic Waste,30040
Moratuwa MC,2014-11-07,Sorted Organic Waste,42800
Moratuwa MC,2014-11-08,Sorted Organic Waste,35260
Moratuwa MC,2014-11-10,Sorted Organic Waste,29450
Moratuwa MC,2014-11-11,Sorted Organic Waste,44080
Moratuwa MC,2014-11-12,Sorted Organic Waste,85470
Moratuwa MC,2014-11-13,Sorted Organic Waste,35640
Moratuwa MC,2014-11-14,Sorted Organic Waste,38900
Moratuwa MC,2014-11-15,Sorted Organic Waste,40920
Moratuwa MC,2014-11-17,Sorted Organic Waste,41520
Moratuwa MC,2014-11-18,Sorted Organic Waste,49270
Moratuwa MC,2014-11-19,Sorted Organic Waste,46020
Moratuwa MC,2014-11-20,Sorted Organic Waste,37400
Moratuwa MC,2014-11-21,Sorted Organic Waste,39040
Moratuwa MC,2014-11-22,Sorted Organic Waste,35650
Moratuwa MC,2014-11-24,Sorted Organic Waste,48060
Moratuwa MC,2014-11-25,Sorted Organic Waste,46910
