ticket_date,net_weight_kg
2000-07-03,52380
2000-07-04,62940
2000-07-05,48260
2000-07-06,55580
2000-07-07,57800
2000-07-10,55720
2000-07-11,61880
2000-07-12,48120
2000-07-13,54160
2000-07-14,55400
2000-07-17,54380
2000-07-18,64380
2000-07-19,47020
2000-07-20,54260
2000-07-21,54380
2000-07-24,58480
2000-07-25,58620
2000-07-26,45420
2000-07-27,50760
2000-07-28,49160
2000-07-31,52330
2000-08-01,63180
2000-08-02,48280
2000-08-03,57400
2000-08-04,60040
2000-08-07,58900
2000-08-08,65800
2000-08-09,49500
2000-08-10,55400
2000-08-11,58360
2000-08-14,52340
2000-08-15,56160
2000-08-16,42420
2000-08-17,57340
2000-08-18,58800
2000-08-21,41790
2000-08-22,63100
2000-08-23,50900
2000-08-24,57500
2000-08-25,58440
2000-08-28,54340
2000-08-29,62500
2000-08-30,48220
2000-08-31,52860
2000-09-01,58000
2000-09-04,55600
2000-09-05,64520
2000-09-06,52540
2000-09-07,57500
2000-09-08,57080
2000-09-11,53960
2000-09-12,61600
2000-09-13,50320
2000-09-14,57880
2000-09-15,61640
2000-09-18,66180
2000-09-19,74600
2000-09-20,51280
2000-09-21,62360
2000-09-22,67260
2000-09-25,68220
2000-09-26,65280
2000-09-27,50960
2000-09-28,59680
2000-09-29,64960
2000-10-02,60040
2000-10-03,70620
2000-10-04,53100
2000-10-05,63100
2000-10-06,66060
2000-10-09,65840
2000-10-10,77280
2000-10-11,53440
2000-10-12,62270
2000-10-13,65420
2000-10-16,60060
2000-10-17,69620
2000-10-18,53380
2000-10-19,57780
2000-10-20,56540
2000-10-23,66380
2000-10-24,67120
2000-10-25,50580
2000-10-26,55160
2000-10-27,66460
2000-10-30,62300
2000-10-31,77140
2000-11-01,57080
2000-11-02,65660
2000-11-03,68280
2000-11-06,64960
2000-11-07,74020
2000-11-08,53220
2000-11-09,64200
2000-11-10,66980
2000-11-13,65780
2000-11-14,79480
2000-11-15,56020
2000-11-16,64920
2000-11-17,70820
2000-11-20,68860
2000-11-21,78620
2000-11-22,56220
2000-11-23,65120
2000-11-24,70340
2000-11-27,63220
